Navn       Per Dato     Tid  Kjøp     Salg     Omsatt   Endring Volum
Bank       D   14.11.95 0946                      60,99                 32
Bank       D   14.11.95 1006                      60,99                163
UNS        D   14.11.95 1119    31,40    31,50    31,40              20100
UNS        D   14.11.95 1203    31,40    31,50    31,40              23100
UNS        D   14.11.95 1217    31,40    31,50    31,40              24100
UNS        D   14.11.95 1247    31,40    31,50    31,40              24900
UNS        D   14.11.95 1301    31,20    31,40    31,40              30400
UNS        D   14.11.95 1316    31,10    31,40    31,20              55400
UNS        D   14.11.95 1346    31,20    31,40    31,20              55400
UNS        D   14.11.95 1401    31,30    31,40    31,20              94500
UNS        D   14.11.95 1417    31,30    31,40    31,30             115000
UNS        D   14.11.95 1502    31,10    31,30    31,20             132000
UNS        D   14.11.95 1517    31,10    31,20    31,20             132000
UNS        D   14.11.95 1532    31,10    31,20    31,20             135000
UNS        D   14.11.95 1547    31,10    31,20    31,10             145000
UNS        D   14.11.95 1603    31,10    31,20    31,20             168000
UNP        D   14.11.95 1006    11,40    11,50                            
UNP        D   14.11.95 1104    11,40    11,50    11,50               3000
UNP        D   14.11.95 1133    11,40    11,50    11,50              28000
UNP        D   14.11.95 1616    11,40    11,50    11,50              47500
VIT        D   14.11.95 1049   100,00                                     
AAV        D   14.11.95 1006            230,00                            
AAV        D   14.11.95 1036   200,00   230,00                            
AAV        D   14.11.95 1546   200,00   220,00                            
AKE        D   14.11.95 1006             80,00                         125
AKE        D   14.11.95 1021    78,00    80,00                         125
AKE        D   14.11.95 1119    79,00    80,00                         125
AKE        D   14.11.95 1133    79,00    80,00    79,00               1125
AKE        D   14.11.95 1203    79,00    80,00    79,50               3425
AKE        D   14.11.95 1217    79,00    80,00    79,00               3625
AKE        D   14.11.95 1247    79,00    79,50    79,00               3625
AKE        D   14.11.95 1301    79,00    79,50    79,50               3725
AKE        D   14.11.95 1331    79,00    79,50    79,50               3825
AKE        D   14.11.95 1347    79,00    79,50    79,50               5825
AKE        D   14.11.95 1417    79,00    79,50    79,50               9825
AKE        D   14.11.95 1447    79,00    79,50    79,50              10100
AKE        D   14.11.95 1532    79,00    79,50    79,50              13600
AKE        D   14.11.95 1546    79,00    79,50    79,50              15600
AKE        D   14.11.95 1603    78,50    79,00    79,00              27500
AKE        D   14.11.95 1616    78,50    79,00    78,50              29300
AKEB       D   14.11.95 1006    74,00    82,00                            
AKEB       D   14.11.95 1021    74,00    75,00                            
AKEB       D   14.11.95 1119    74,00    75,00    74,00               2100
AKEB       D   14.11.95 1217    74,50    75,00    74,00               2100
AKEB       D   14.11.95 1417    74,00    75,00    74,50               6100
AKEB       D   14.11.95 1603    74,00    74,50    74,00               6340
AKEB       D   14.11.95 1616    74,00    74,50    74,00              11100
STK        D   14.11.95 1021            365,00                            
STK        D   14.11.95 1028   350,00   365,00                            
STK        D   14.11.95 1049   350,00   360,00                            
AFK        D   14.11.95 1006            515,00                            
AFK        D   14.11.95 1301   500,00   515,00                            
AVA        D   14.11.95 1006    37,00    40,00                            
AVA        D   14.11.95 1021    37,00    39,00                            
AVA        D   14.11.95 1030    38,00    39,00                            
AVA        D   14.11.95 1231    38,50    39,00    38,50               1000
AVA        D   14.11.95 1301    38,00    39,00    39,00               6600
AVA        D   14.11.95 1347    38,00    38,50    38,50               6800
AVA        D   14.11.95 1401    38,00    39,00    38,50               7000
AVA        D   14.11.95 1447    38,50    39,00    38,50               7000
AVA        D   14.11.95 1616    38,50    39,00    38,50               8000
BJF        D   14.11.95 1006    80,00                                     
BLO        D   14.11.95 1006    90,00    92,00                       27500
BLO        D   14.11.95 1021    90,50    92,00                       28500
BLO        D   14.11.95 1432    91,00    92,00                       28500
BLO        D   14.11.95 1501    90,50    92,00    91,00              33500
BLO        D   14.11.95 1532    90,50    91,00    91,00              33500
BLO        D   14.11.95 1603    90,00    91,00    90,50              34500
BRA        D   14.11.95 1006   330,00                                     
BRA        D   14.11.95 1021   330,00   333,00                            
BRA        D   14.11.95 1036   330,00   335,00   330,00               9500
BRA        D   14.11.95 1133   330,00   337,00   330,00               9500
BRA        D   14.11.95 1217   330,00   335,00   330,00               9500
BRA        D   14.11.95 1317   330,00   335,00   330,00              34500
CTG        D   14.11.95 1006            105,00                            
CTG        D   14.11.95 1021    95,00   105,00                            
CTG        D   14.11.95 1050    96,00   105,00                            
CTG        D   14.11.95 1517    96,00   105,00                          60
CBJ        D   14.11.95 1006             85,00                            
DNL        D   14.11.95 1036   285,00   293,00                            
DNL        D   14.11.95 1049   288,00   293,00                            
DNL        D   14.11.95 1203   288,00   292,00   292,00                100
DNL        D   14.11.95 1217   288,00   290,00   292,00                100
DNL        D   14.11.95 1317   285,00   288,00   288,00                600
DNL        D   14.11.95 1330            288,00   288,00                600
DNL        D   14.11.95 1331   285,00   288,00   288,00                600
DNL        D   14.11.95 1432   282,00   287,00   285,00               1100
DNL        D   14.11.95 1517   283,00   285,00   285,00               1100
DNL        D   14.11.95 1532   282,00   285,00   285,00               1550
DNL        D   14.11.95 1546   282,00   284,00   285,00               2000
DNL        D   14.11.95 1603   282,00   284,00   282,00               8050
DNO        D   14.11.95 1006              3,30                            
DNO        D   14.11.95 1133     2,80     3,30                            
DNO        D   14.11.95 1347     3,00     3,30                        1000
DNO        D   14.11.95 1432     3,00     3,20                        1000
DNO        D   14.11.95 1517     3,00     3,20     3,00               1226
DYN        D   14.11.95 1006            140,00                            
DYN        D   14.11.95 1021            138,00                            
DYN        D   14.11.95 1036   136,00   138,00                            
DYN        D   14.11.95 1104   137,00   138,00                            
DYN        D   14.11.95 1119   137,00   138,00   138,00                300
DYN        D   14.11.95 1148   140,00   141,00   140,00              13800
DYN        D   14.11.95 1203   139,00   140,00   140,00              16800
DYN        D   14.11.95 1215   138,00   140,00   140,00              16800
DYN        D   14.11.95 1217   138,00   139,00   140,00              16800
DYN        D   14.11.95 1231   138,00   139,00   139,00              17800
DYN        D   14.11.95 1247   138,00   140,00   139,00              20100
DYN        D   14.11.95 1317   139,00   140,00   139,00              20100
DYN        D   14.11.95 1401   139,00   140,00   140,00              22900
DYN        D   14.11.95 1417   139,00   139,50   140,00              22900
DYN        D   14.11.95 1432   139,00   139,50   139,00              23600
DYN        D   14.11.95 1501   139,00   140,00   139,50              28800
DYN        D   14.11.95 1517   139,50   140,00   139,50              29800
DYN        D   14.11.95 1603   139,50   140,00   140,00              55800
EEG        D   14.11.95 1301    74,00                                     
EKO        D   14.11.95 1006    66,50                                     
EKO        D   14.11.95 1021    66,50    71,00                            
EKO        D   14.11.95 1036    66,50    70,00                            
EKO        D   14.11.95 1049    66,50    69,00                            
EKO        D   14.11.95 1217    66,50    68,00                            
EKO        D   14.11.95 1247    66,50    68,00    67,00                100
EKO        D   14.11.95 1347    66,50    67,50    67,00                100
EKO        D   14.11.95 1401    66,50    67,00    67,00                100
EKO        D   14.11.95 1603    66,50    67,00    66,50               1600
ELK        D   14.11.95 1006    67,00    69,00                         450
ELK        D   14.11.95 1017    67,50    69,00                         450
ELK        D   14.11.95 1021    67,00    68,00    67,00              20600
ELK        D   14.11.95 1036    67,00    68,00    67,50              22100
ELK        D   14.11.95 1104    67,50    68,00    67,50              22100
ELK        D   14.11.95 1119    67,50    68,00    67,50              25400
ELK        D   14.11.95 1128    67,50    68,00    67,50              26400
ELK        D   14.11.95 1133    67,50    68,00    68,00              30600
ELK        D   14.11.95 1203    67,50    68,00    68,00              32600
ELK        D   14.11.95 1232    67,50    68,00    67,50              34100
ELK        D   14.11.95 1247    67,50    68,00    67,50              39800
ELK        D   14.11.95 1347    67,50    68,00    67,50              39900
ELK        D   14.11.95 1401    67,00    68,00    67,50              50300
ELK        D   14.11.95 1417    67,00    68,00    67,50              52500
ELK        D   14.11.95 1447    67,00    67,50    67,50              52500
ELK        D   14.11.95 1456    67,00    67,50    67,50              56500
ELK        D   14.11.95 1501    67,00    67,50    67,50              57500
ELK        D   14.11.95 1532    66,50    67,00    67,00              89000
ELK        D   14.11.95 1547    66,50    67,00    66,50             102000
ELK        D   14.11.95 1603    66,50    67,00    66,50             108000
ELK        D   14.11.95 1616    66,50    67,00    66,50             110000
EKJ        D   14.11.95 1006   153,00   157,00                            
EKJ        D   14.11.95 1021   153,00   155,00                            
EKJ        D   14.11.95 1119   153,00   154,00                            
EKJ        D   14.11.95 1148   153,00   155,00                         100
EKJ        D   14.11.95 1203   153,00   155,00   153,00                130
EKJ        D   14.11.95 1347   154,00   155,00   155,00                230
EKJ        D   14.11.95 1447   155,00   156,00   155,00               2230
EKJ        D   14.11.95 1517   154,00   155,00   155,00               4230
EKJ        D   14.11.95 1603   154,00   155,00   154,00               4430
FSL        D   14.11.95 1006    60,50    62,00                            
FSL        D   14.11.95 1021    60,50    61,50    61,00               1000
FSL        D   14.11.95 1049    61,00    61,50    61,00               1000
FSL        D   14.11.95 1104    61,50    62,00    61,50               2200
FSL        D   14.11.95 1119    62,00    63,00    62,00               8800
FSL        D   14.11.95 1217    62,00    63,00    63,00               9200
FSL        D   14.11.95 1232    63,00    65,00    63,00               9800
FSL        D   14.11.95 1301    63,00    64,00    64,00              10400
FSL        D   14.11.95 1417    63,00    63,50    64,00              10400
FSL        D   14.11.95 1431    62,00    63,00    63,00              14800
FSL        D   14.11.95 1447    63,00    63,50    63,00              22400
FSL        D   14.11.95 1501    62,50    63,50    63,00              30000
FSL        D   14.11.95 1517    62,50    63,00    63,00              30000
FSL        D   14.11.95 1532    62,50    63,50    63,00              30000
FSL        D   14.11.95 1547    63,00    63,50    62,50              30600
FIB        D   14.11.95 1006     2,50     2,60                            
FIB        D   14.11.95 1049     2,50     2,60                       25000
FIB        D   14.11.95 1133     2,55     2,60                       25000
FIB        D   14.11.95 1217     2,55     2,60     2,60              27000
FIB        D   14.11.95 1228     2,50     2,60     2,55              33000
FIB        D   14.11.95 1332     2,35     2,50     2,50              46000
FIB        D   14.11.95 1347     2,50     2,60     2,50              52000
FIB        D   14.11.95 1417     2,50     2,60     2,50              53000
FIB        D   14.11.95 1616     2,50     2,60     2,50              53200
GOD        D   14.11.95 1006                                         10000
GOD        D   14.11.95 1021             94,00                       10000
GOD        D   14.11.95 1036    90,00    94,00                       10000
GOD        D   14.11.95 1049    90,00    93,00                       10000
GOD        D   14.11.95 1119    90,00    92,00                       10000
GOD        D   14.11.95 1401    91,00    92,00                       10000
GOD        D   14.11.95 1447    88,00    92,00                       10000
GOD        D   14.11.95 1501    88,00    92,00    92,00              10200
GOD        D   14.11.95 1517    90,00    92,00    92,00              10200
GHO        D   14.11.95 1021                     120,00                200
GRE        D   14.11.95 1006   102,00                                     
GRE        D   14.11.95 1021   102,00   104,00                            
GRE        D   14.11.95 1119   102,00   104,00                       26000
GRE        D   14.11.95 1247   102,00   104,00   103,00              28500
GRE        D   14.11.95 1431   103,00   104,00   103,00              28500
GYL        D   14.11.95 1021            360,00                            
GYL        D   14.11.95 1203            355,00                            
HNA        D   14.11.95 1006            182,50                         150
HNA        D   14.11.95 1021   181,00   182,00   182,00                350
HNA        D   14.11.95 1036   181,50   182,50   182,00               1050
HNA        D   14.11.95 1101   181,50   182,00   182,00               1050
HNA        D   14.11.95 1104   181,00   182,00   181,50               1550
HNA        D   14.11.95 1119   182,00   182,50   182,00               6550
HNA        D   14.11.95 1133   181,50   182,50   182,00               7150
HNA        D   14.11.95 1148   181,00   182,00   181,50              11200
HNA        D   14.11.95 1203   181,50   182,00   182,00              12600
HNA        D   14.11.95 1217   181,50   182,00   182,00              12800
HNA        D   14.11.95 1232   181,00   182,00   181,50              14800
HNA        D   14.11.95 1247   180,00   181,00   180,00              22800
HNA        D   14.11.95 1301   180,00   181,50   181,00              27800
HNA        D   14.11.95 1317   181,00   181,50   181,00              29800
