170696	"R. Jensen's Farge"	"Are Frodes v. 39"	"Postboks 462"	3700	"Ragnar Jensen"	""	        
170697	"Intervision A/S"	"Hedmarks gt. 10"	""	658	"Halvor Kiese"	""	        
170698	"Lõdingen Regnskapsservice A/S"	"Sjõvn. 12"	"Postboks 31"	8550	""	""	        
170699	"Tyholmen Hotel A/S"	"Teaterplassen 2"	"Postboks 100"	4800	"Ole H. Olsbunes"	""	19950511
170700	"LO-Kirkenes"	"Samfunnshuset"	"Postboks 1"	9900	""	""	        
170701	"repropartner"	"Industrigt. 22"	"Postboks 1628 Valhalla"	4602	"Hans èmot"	""	        
170702	"KÜre Brattsveen"	"Jevnakervn. 27"	""	2870	""	""	        
170703	"Lõft-Kompressor Service A/S"	"Holter IndustriomrÜde"	""	1440	"Arne Pedersen"	"SFP"	        
170704	"Ekker Overnatting"	""	""	7870	"ùyvind Solbakken"	""	        
170705	"Meco Produkter"	"Tvetenvn. 55"	""	666	"Corneliussen"	"I"	19951217
170706	"Jõrgen Motzfeldt Arkitekt MNAL"	"Brugt. 20"	"Postboks 109"	2201	"Jõrgen Motzfeldt"	"DTKF"	        
170707	"Den Kongelige Mynt"	"Hyttegaten 1"	"Postboks 53"	3601	"Gulliksen/Wessel/Lõver"	"DEP"	        
170708	"Drammensdistriktets Skogeierforening"	"Storgt. 11"	"Postboks 53"	3500	"Per Stamnes"	"et"	        
170709	"Microplast AS"	"Tangen"	"Postboks 174"	7501	"Ola Bakken"	""	19951110
170710	"Bittens Blomster og Gaver"	"Hauge i Dalane"	""	4380	"Solfrid Sand Frõytlog"	"THPKF"	        
170711	"Arne Pedersen Trafikkskole"	"Strandgt. 12"	""	8250	"Arne Pedersen"	""	19950405
170712	"Finnmark Sand AS"	"Bjõrn Wirkolas v. 15"	"Postboks 1303"	9501	"Arnulf Nilsen"	"T"	19950330
170713	"Nordenfjelske Eiendomsutvikling A/S"	"Vestre Rosten 81"	""	7075	"Jan Pedersen"	""	        
170714	"ùstborg Trygve Ragnar"	""	""	7760	"Trygve ùstborg"	""	        
170715	"Eidnes Bj. Fotografmester A/S"	"Tyssedalsv. 2"	"Postboks 203"	5751	"Bjõrn Eidnes"	"DH"	19951024
170716	"P.A. Segenmark Norge A/S"	"Ensjõvn. 14"	"Postboks 2859 Tõyen"	608	"Salgssjef Per Nëss"	""	        
170717	"PlastbÜt Service"	"Marstrandgt. 7"	""	566	"HÜkon Ringkvist"	"TK"	19950921
170718	"Norsk Forsvarsteknologi A/S   NFT Narvik"	""	"Postboks 265"	8501	"Jan T. Jõrgensen"	""	19950615
170719	"Blokken Skibsverft"	""	"Postboks 25"	8412	"KÜre Rassmussen"	""	        
170720	"Kjellemo Regnskapskontor"	"GrÜgÜsv. 2"	""	3142	"Anna Sofie Kjellemo"	"TKF"	        
170721	"Mianco Elektronikk"	"Borrevn. 48"	""	3191	"Kay Mikalsen"	"TK"	19951204
170722	"Rebus A/S"	"Kaigt. 2"	""	3100	"Arild Adamsrõd"	"TKF"	        
170723	"Rye's Elektroverksted A/S"	"Bromsvn. 31"	""	3183	"Rune Sõrebõ"	"DA"	19950628
170724	"Kontroll Elektro"	"Osterhausgt. 7"	""	183	"ùyvind Krog Nilsen"	"DEAPI"	19951115
170725	"Eikeland Kjõreskole"	"Langgt. 94a"	""	4300	"Arne Eikeland"	""	        
170726	"Regnskap og Administrasjon"	"Strandgt. 42"	"Postboks 330"	4601	"Halvard Bõ"	"T"	        
170727	"Rosenberg Interiõr A/S"	"Sagvn. 3"	"Postboks 107"	1890	"Ole J. Holter/Wilhelm Andersen"	"TKP"	19950213
170728	"Capro A/S"	""	"Postboks 11"	7084	"Hr. Rosõy"	"DP"	19950419
170729	"AB Profilering"	""	""	6375	"Hr. AmundsgÜrd"	""	        
170730	"Knarrlagsund Slipp og Mek. verksted A/S"	""	""	7242	""	""	        
170731	"Bryne Importservice A/S"	"Hanavn."	"Postboks 378"	4301	"Jon Rysstad"	""	        
170732	"Skysstasjon"	""	""	7977	"Audun Fiskum"	""	        
170733	"Nyseth Mõbelforretning"	"Strandgt. 30"	"Box 206"	8401	""	""	        
170734	"Vestfold Elektro-Diesel A/S"	"Kilenggt. 20"	""	3101	"Colien"	""	19950829
170735	"ù. Brekke Landbruksservice"	""	"Arnadal"	3170	"ùyvind Brekke"	"P"	        
170736	"Hans Laukvik"	""	"Postboks 250"	8901	"Hans Laukvik"	"T"	        
170738	"Eie A/S"	"Sagveien 17"	"Pb. 19 Sentrum"	101	""	""	19950905
170739	"Betongpumping"	"Mokjernvn. 3"	""	3901	"Kjell Kristiansen"	"KF"	19950412
170740	"Rõr Service A/S"	"Stakkevollvn. 309"	""	9019	"Svein Benjaminsen"	""	        
170741	"Kaspo Maskin A/S Hovedkontor"	"Lade Alle 65"	""	7003	"Kalland"	""	        
170742	"Eide Brygge Rorbucamping"	""	""	9381	"Oda Eide"	""	19950411
170743	"Stjõrdal Brannkasse"	""	"Postboks 143"	7501	"Rut HÜpnes"	"T"	19951117
